district_no,year,yield,avg_elevation,avg_soil_pawc,pflanzliche_erzeugung_lag1,zuckerrben_lag1,dngemittel_Q1_lag1,dngemittel_Q2_lag1,dngemittel_Q3_lag1,dngemittel_Q4_lag1,energie_und_schmierstoffe_Q1_lag1,energie_und_schmierstoffe_Q2_lag1,energie_und_schmierstoffe_Q3_lag1,energie_und_schmierstoffe_Q4_lag1,pflanzenschutzmittel_Q1_lag1,pflanzenschutzmittel_Q2_lag1,pflanzenschutzmittel_Q3_lag1,pflanzenschutzmittel_Q4_lag1,saat_und_pflanzgut_Q1_lag1,saat_und_pflanzgut_Q2_lag1,saat_und_pflanzgut_Q3_lag1,saat_und_pflanzgut_Q4_lag1,winter_temp_anomaly,winter_precip_anomaly,forecasted_temp_anomaly,forecasted_precip_anomaly
1051,2017,75.65,4.312761096339693,60.66861105434826,92.6,111.4,100.5,98.5,92.2,92.0,90.5,94.2,96.2,100.4,97.0,97.0,97.0,97.9,95.4,96.8,95.3,94.7,-2.1704620844575984,-0.6197031606325476,0.5984069352290251,5.4955491315384366e-09
1051,2018,67.25,4.312761096339693,60.66861105434826,93.1,96.7,93.4,96.4,93.4,93.6,102.9,102.7,98.7,102.5,98.8,99.5,99.5,99.4,96.6,96.5,95.9,96.7,-0.9644711165704659,0.19397359586531343,-0.42780652218181636,-6.79681350261723e-07
1051,2019,86.17,4.312761096339693,60.66861105434826,102.7,95.4,96.0,96.8,95.7,99.2,105.5,106.1,108.8,116.1,100.0,99.6,98.6,98.3,96.5,97.8,98.9,98.9,0.4142306679441294,-0.09779728916585462,0.7518813512236433,1.9296901217345067e-06
1051,2020,81.5,4.312761096339693,60.66861105434826,101.9,90.0,100.9,102.6,103.2,103.9,108.9,111.8,110.5,111.0,98.7,98.9,99.2,99.6,100.1,102.5,99.7,99.7,0.6938454464644239,0.31242713564667135,0.8384127642323478,-2.3131690273687414e-07
1051,2021,89.82,4.312761096339693,60.66861105434826,100.0,100.0,103.7,101.1,95.4,99.8,113.2,94.1,97.6,95.1,99.6,99.9,99.8,100.8,99.3,99.7,100.5,100.6,-0.35580361114000675,0.027283579926785616,0.2093958586913343,-1.2994934599657662e-07
1053,2017,79.43,40.00613405135157,48.82537288832111,92.6,111.4,100.5,98.5,92.2,92.0,90.5,94.2,96.2,100.4,97.0,97.0,97.0,97.9,95.4,96.8,95.3,94.7,-2.16058306093275,-0.5644588945039893,0.6082831414371133,1.7764539216661118e-08
1053,2018,64.67,40.00613405135157,48.82537288832111,93.1,96.7,93.4,96.4,93.4,93.6,102.9,102.7,98.7,102.5,98.8,99.5,99.5,99.4,96.6,96.5,95.9,96.7,-1.180780208010099,0.19767086672975054,-0.33116903036771406,-2.2326039552551322e-07
1053,2019,88.08,40.00613405135157,48.82537288832111,102.7,95.4,96.0,96.8,95.7,99.2,105.5,106.1,108.8,116.1,100.0,99.6,98.6,98.3,96.5,97.8,98.9,98.9,0.48537134135087606,-0.1724908516152723,0.7751741054790815,1.201759356149372e-06
1053,2020,75.49,40.00613405135157,48.82537288832111,101.9,90.0,100.9,102.6,103.2,103.9,108.9,111.8,110.5,111.0,98.7,98.9,99.2,99.6,100.1,102.5,99.7,99.7,0.7772798151830014,0.3259910232927874,0.8857757335835654,-5.875815640241612e-07
1053,2021,81.98,40.00613405135157,48.82537288832111,100.0,100.0,103.7,101.1,95.4,99.8,113.2,94.1,97.6,95.1,99.6,99.9,99.8,100.8,99.3,99.7,100.5,100.6,-0.36365159717591966,0.09376052777635752,0.2930901410639149,-1.6252019604352608e-07
1054,2018,70.93,3.878989444346276,57.13157050524072,93.1,96.7,93.4,96.4,93.4,93.6,102.9,102.7,98.7,102.5,98.8,99.5,99.5,99.4,96.6,96.5,95.9,96.7,-0.7762258831031321,0.14569204133929442,-0.4711872491412031,-2.844027589926737e-07
1054,2019,99.18,3.878989444346276,57.13157050524072,102.7,95.4,96.0,96.8,95.7,99.2,105.5,106.1,108.8,116.1,100.0,99.6,98.6,98.3,96.5,97.8,98.9,98.9,0.364897015039871,-0.10679780633737448,0.7458321216438328,1.8548358340165267e-06
1054,2020,88.57,3.878989444346276,57.13157050524072,101.9,90.0,100.9,102.6,103.2,103.9,108.9,111.8,110.5,111.0,98.7,98.9,99.2,99.6,100.1,102.5,99.7,99.7,0.6474062268116818,0.41003491827109306,0.8446298685418855,-7.209238410026787e-08
1054,2021,93.31,3.878989444346276,57.13157050524072,100.0,100.0,103.7,101.1,95.4,99.8,113.2,94.1,97.6,95.1,99.6,99.9,99.8,100.8,99.3,99.7,100.5,100.6,-0.322788000191489,-0.026685536600392048,0.19015720109500095,-8.43391340949966e-08
1058,2017,74.04,18.6739993731766,53.52441928771236,92.6,111.4,100.5,98.5,92.2,92.0,90.5,94.2,96.2,100.4,97.0,97.0,97.0,97.9,95.4,96.8,95.3,94.7,-2.0109155624343322,-0.5765139757490122,0.6032062920477994,-9.568656009110011e-08
1058,2018,74.42,18.6739993731766,53.52441928771236,93.1,96.7,93.4,96.4,93.4,93.6,102.9,102.7,98.7,102.5,98.8,99.5,99.5,99.4,96.6,96.5,95.9,96.7,-1.074560017843691,0.1933270461327758,-0.40392102485352244,-1.996555554028994e-07
1058,2019,83.81,18.6739993731766,53.52441928771236,102.7,95.4,96.0,96.8,95.7,99.2,105.5,106.1,108.8,116.1,100.0,99.6,98.6,98.3,96.5,97.8,98.9,98.9,0.4534226490362223,-0.1509268184458533,0.7497233821701504,1.4497292507246702e-06
1058,2020,81.04,18.6739993731766,53.52441928771236,101.9,90.0,100.9,102.6,103.2,103.9,108.9,111.8,110.5,111.0,98.7,98.9,99.2,99.6,100.1,102.5,99.7,99.7,0.7369279442254786,0.3638005592233579,0.8677466292135696,-4.341480805550019e-07
1058,2021,81.67,18.6739993731766,53.52441928771236,100.0,100.0,103.7,101.1,95.4,99.8,113.2,94.1,97.6,95.1,99.6,99.9,99.8,100.8,99.3,99.7,100.5,100.6,-0.3096662957382257,0.02234959604319629,0.24532134216811435,-6.943353874720318e-08
1059,2017,74.21,21.813499268367053,51.94983958903685,92.6,111.4,100.5,98.5,92.2,92.0,90.5,94.2,96.2,100.4,97.0,97.0,97.0,97.9,95.4,96.8,95.3,94.7,-1.9736443922557292,-0.570045738260016,0.5970332897279792,1.1376102161821801e-08
1059,2018,76.15,21.813499268367053,51.94983958903685,93.1,96.7,93.4,96.4,93.4,93.6,102.9,102.7,98.7,102.5,98.8,99.5,99.5,99.4,96.6,96.5,95.9,96.7,-1.0290133787530764,0.14685894980648878,-0.4290525061712932,1.7313885631659678e-07
1059,2019,83.37,21.813499268367053,51.94983958903685,102.7,95.4,96.0,96.8,95.7,99.2,105.5,106.1,108.8,116.1,100.0,99.6,98.6,98.3,96.5,97.8,98.9,98.9,0.4611470693918486,-0.12591870403779742,0.7337408919982097,1.5002685267330134e-06
1059,2020,83.2,21.813499268367053,51.94983958903685,101.9,90.0,100.9,102.6,103.2,103.9,108.9,111.8,110.5,111.0,98.7,98.9,99.2,99.6,100.1,102.5,99.7,99.7,0.7504295629981774,0.41303315518828576,0.8569290063365708,-3.627777343275018e-07
1059,2021,81.92,21.813499268367053,51.94983958903685,100.0,100.0,103.7,101.1,95.4,99.8,113.2,94.1,97.6,95.1,99.6,99.9,99.8,100.8,99.3,99.7,100.5,100.6,-0.3688581442012274,-0.03616343066441614,0.22827524096009272,-2.7359552644796516e-08
1060,2017,78.3,34.30699266787498,50.82564035364499,92.6,111.4,100.5,98.5,92.2,92.0,90.5,94.2,96.2,100.4,97.0,97.0,97.0,97.9,95.4,96.8,95.3,94.7,-2.087110942017686,-0.5804977416992188,0.609451899193228,-1.8557374668529653e-07
1060,2018,57.12,34.30699266787498,50.82564035364499,93.1,96.7,93.4,96.4,93.4,93.6,102.9,102.7,98.7,102.5,98.8,99.5,99.5,99.4,96.6,96.5,95.9,96.7,-1.1185316904927838,0.19736957550048828,-0.3729172137340233,-4.7053811419789254e-07
1060,2019,87.71,34.30699266787498,50.82564035364499,102.7,95.4,96.0,96.8,95.7,99.2,105.5,106.1,108.8,116.1,100.0,99.6,98.6,98.3,96.5,97.8,98.9,98.9,0.4605069169682261,-0.14971250295639038,0.7612519483924255,1.3575937365756805e-06
1060,2020,76.03,34.30699266787498,50.82564035364499,101.9,90.0,100.9,102.6,103.2,103.9,108.9,111.8,110.5,111.0,98.7,98.9,99.2,99.6,100.1,102.5,99.7,99.7,0.7395899616783428,0.31522417068481445,0.8745346649916416,-5.1226154940626e-07
1060,2021,82.84,34.30699266787498,50.82564035364499,100.0,100.0,103.7,101.1,95.4,99.8,113.2,94.1,97.6,95.1,99.6,99.9,99.8,100.8,99.3,99.7,100.5,100.6,-0.3072924168576866,0.08176743984222412,0.2674681669471407,-1.1680804148136479e-07
1061,2017,72.7,8.498057820216552,61.49693127291663,92.6,111.4,100.5,98.5,92.2,92.0,90.5,94.2,96.2,100.4,97.0,97.0,97.0,97.9,95.4,96.8,95.3,94.7,-2.1286281255802226,-0.5990066528320312,0.6027035668066354,-7.854062964793266e-08
1061,2018,65.86,8.498057820216552,61.49693127291663,93.1,96.7,93.4,96.4,93.4,93.6,102.9,102.7,98.7,102.5,98.8,99.5,99.5,99.4,96.6,96.5,95.9,96.7,-1.044463638846164,0.1868354082107544,-0.3785630148281039,-5.862427089791154e-07
1061,2019,82.63,8.498057820216552,61.49693127291663,102.7,95.4,96.0,96.8,95.7,99.2,105.5,106.1,108.8,116.1,100.0,99.6,98.6,98.3,96.5,97.8,98.9,98.9,0.42637844868217245,-0.13470923900604248,0.7426287883912476,1.6185456479809475e-06
1061,2020,79.2,8.498057820216552,61.49693127291663,101.9,90.0,100.9,102.6,103.2,103.9,108.9,111.8,110.5,111.0,98.7,98.9,99.2,99.6,100.1,102.5,99.7,99.7,0.6985476228159406,0.3421369791030884,0.8376277549597732,-5.42990740796817e-07
1061,2021,76.46,8.498057820216552,61.49693127291663,100.0,100.0,103.7,101.1,95.4,99.8,113.2,94.1,97.6,95.1,99.6,99.9,99.8,100.8,99.3,99.7,100.5,100.6,-0.31884410040427624,0.05035698413848877,0.23630660646414559,-7.722980362887855e-08
3101,2017,76.84,79.36886014887196,46.774093627551125,92.6,111.4,100.5,98.5,92.2,92.0,90.5,94.2,96.2,100.4,97.0,97.0,97.0,97.9,95.4,96.8,95.3,94.7,-2.3487493939397264,-0.5198572422431375,0.5881936969705706,9.221681050728823e-07
